,inference_id,layer_id,split_layer,total_inference_time_ns,completed_by_node,class,inference_time,parameters,parameter_bytes,cpu_cycles_used,watts_used,depth,precision,input_size,output_size,output_bytes
117,03565a4e-10bb-464e-8e8b-ed669670c03a,12,3,64712199,EDGE1,MaxPool2d,340805,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 6, 6]",36864
118,03565a4e-10bb-464e-8e8b-ed669670c03a,13,3,64712199,EDGE1,AdaptiveAvgPool2d,396475,0,0,,,1,,"[1, 256, 6, 6]","[1, 256, 6, 6]",36864
119,03565a4e-10bb-464e-8e8b-ed669670c03a,14,3,64712199,EDGE1,Dropout,31214,0,0,,,2,,"[1, 9216]","[1, 9216]",36864
120,03565a4e-10bb-464e-8e8b-ed669670c03a,15,3,64712199,EDGE1,Linear,9132114,37752832,151011328,,,2,,"[1, 9216]","[1, 4096]",16384
121,03565a4e-10bb-464e-8e8b-ed669670c03a,16,3,64712199,EDGE1,ReLU,52666,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
122,03565a4e-10bb-464e-8e8b-ed669670c03a,17,3,64712199,EDGE1,Dropout,36655,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
123,03565a4e-10bb-464e-8e8b-ed669670c03a,18,3,64712199,EDGE1,Linear,4149126,16781312,67125248,,,2,,"[1, 4096]","[1, 4096]",16384
124,03565a4e-10bb-464e-8e8b-ed669670c03a,19,3,64712199,EDGE1,ReLU,50064,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
125,03565a4e-10bb-464e-8e8b-ed669670c03a,20,3,64712199,EDGE1,Linear,1073026,4097000,16388000,,,2,,"[1, 4096]","[1, 1000]",4000
126,04141d0c-d297-431b-8b1d-2eeed0234664,0,2,72569045,CLIENT1,Conv2d,16431256,23296,93184,,,2,,"[1, 3, 224, 224]","[1, 64, 55, 55]",774400
127,04141d0c-d297-431b-8b1d-2eeed0234664,1,2,72569045,CLIENT1,ReLU,2351351,0,0,,,2,,"[1, 64, 55, 55]","[1, 64, 55, 55]",774400
128,04141d0c-d297-431b-8b1d-2eeed0234664,2,2,72569045,EDGE1,MaxPool2d,2004146,0,0,,,2,,"[1, 64, 55, 55]","[1, 64, 27, 27]",186624
129,04141d0c-d297-431b-8b1d-2eeed0234664,3,2,72569045,EDGE1,Conv2d,10408150,307392,1229568,,,2,,"[1, 64, 27, 27]","[1, 192, 27, 27]",559872
130,04141d0c-d297-431b-8b1d-2eeed0234664,4,2,72569045,EDGE1,ReLU,99698,0,0,,,2,,"[1, 192, 27, 27]","[1, 192, 27, 27]",559872
131,04141d0c-d297-431b-8b1d-2eeed0234664,5,2,72569045,EDGE1,MaxPool2d,1306394,0,0,,,2,,"[1, 192, 27, 27]","[1, 192, 13, 13]",129792
132,04141d0c-d297-431b-8b1d-2eeed0234664,6,2,72569045,EDGE1,Conv2d,6496539,663936,2655744,,,2,,"[1, 192, 13, 13]","[1, 384, 13, 13]",259584
133,04141d0c-d297-431b-8b1d-2eeed0234664,7,2,72569045,EDGE1,ReLU,79448,0,0,,,2,,"[1, 384, 13, 13]","[1, 384, 13, 13]",259584
134,04141d0c-d297-431b-8b1d-2eeed0234664,8,2,72569045,EDGE1,Conv2d,7993614,884992,3539968,,,2,,"[1, 384, 13, 13]","[1, 256, 13, 13]",173056
135,04141d0c-d297-431b-8b1d-2eeed0234664,9,2,72569045,EDGE1,ReLU,72409,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
136,04141d0c-d297-431b-8b1d-2eeed0234664,10,2,72569045,EDGE1,Conv2d,6148488,590080,2360320,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
137,04141d0c-d297-431b-8b1d-2eeed0234664,11,2,72569045,EDGE1,ReLU,83426,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
138,04141d0c-d297-431b-8b1d-2eeed0234664,12,2,72569045,EDGE1,MaxPool2d,390083,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 6, 6]",36864
139,04141d0c-d297-431b-8b1d-2eeed0234664,13,2,72569045,EDGE1,AdaptiveAvgPool2d,599448,0,0,,,1,,"[1, 256, 6, 6]","[1, 256, 6, 6]",36864
140,04141d0c-d297-431b-8b1d-2eeed0234664,14,2,72569045,EDGE1,Dropout,35634,0,0,,,2,,"[1, 9216]","[1, 9216]",36864
141,04141d0c-d297-431b-8b1d-2eeed0234664,15,2,72569045,EDGE1,Linear,11598534,37752832,151011328,,,2,,"[1, 9216]","[1, 4096]",16384
142,04141d0c-d297-431b-8b1d-2eeed0234664,16,2,72569045,EDGE1,ReLU,477861,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
143,04141d0c-d297-431b-8b1d-2eeed0234664,17,2,72569045,EDGE1,Dropout,66521,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
144,04141d0c-d297-431b-8b1d-2eeed0234664,18,2,72569045,EDGE1,Linear,4787033,16781312,67125248,,,2,,"[1, 4096]","[1, 4096]",16384
145,04141d0c-d297-431b-8b1d-2eeed0234664,19,2,72569045,EDGE1,ReLU,56620,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
146,04141d0c-d297-431b-8b1d-2eeed0234664,20,2,72569045,EDGE1,Linear,1082392,4097000,16388000,,,2,,"[1, 4096]","[1, 1000]",4000
147,043ab898-6c75-44ef-8443-37ab43e433d4,0,11,113257239,CLIENT1,Conv2d,16635549,23296,93184,,,2,,"[1, 3, 224, 224]","[1, 64, 55, 55]",774400
148,043ab898-6c75-44ef-8443-37ab43e433d4,1,11,113257239,CLIENT1,ReLU,2317481,0,0,,,2,,"[1, 64, 55, 55]","[1, 64, 55, 55]",774400
149,043ab898-6c75-44ef-8443-37ab43e433d4,2,11,113257239,CLIENT1,MaxPool2d,3698052,0,0,,,2,,"[1, 64, 55, 55]","[1, 64, 27, 27]",186624
150,043ab898-6c75-44ef-8443-37ab43e433d4,3,11,113257239,CLIENT1,Conv2d,24141817,307392,1229568,,,2,,"[1, 64, 27, 27]","[1, 192, 27, 27]",559872
151,043ab898-6c75-44ef-8443-37ab43e433d4,4,11,113257239,CLIENT1,ReLU,2130595,0,0,,,2,,"[1, 192, 27, 27]","[1, 192, 27, 27]",559872
152,043ab898-6c75-44ef-8443-37ab43e433d4,5,11,113257239,CLIENT1,MaxPool2d,3187264,0,0,,,2,,"[1, 192, 27, 27]","[1, 192, 13, 13]",129792
